irr-B16-1	1 x (irr-B6-1,irr-D10-1)
irr-B16-33	1 x (irr-B6-13,irr-D10-1) + 1 x (irr-B6-1,irr-D10-20)
irr-B16-528	1 x (irr-B6-78,irr-D10-1) + 1 x (irr-B6-13,irr-D10-20) + 1 x (irr-B6-1,irr-D10-190)
irr-B16-560	1 x (irr-B6-1,irr-D10-1) + 1 x (irr-B6-13,irr-D10-20) + 1 x (irr-B6-90,irr-D10-1) + 1 x (irr-B6-1,irr-D10-209)
