irr-B10-1	1 x (irr-B6-1,irr-D4-1)
irr-B10-21	1 x (irr-B6-13,irr-D4-1) + 1 x (irr-B6-1,irr-D4-8a)
irr-B10-210	1 x (irr-B6-78,irr-D4-1) + 1 x (irr-B6-13,irr-D4-8a) + 1 x (irr-B6-1,irr-D4-28)
irr-B10-230	1 x (irr-B6-1,irr-D4-1) + 1 x (irr-B6-13,irr-D4-8a) + 1 x (irr-B6-90,irr-D4-1) + 1 x (irr-B6-1,irr-D4-35a)
