irr-B10-1	1 x (irr-A3-1,irr-B7-1)
irr-B10-21	1 x (irr-A3-6,irr-B7-1) + 1 x (irr-A3-1,irr-B7-15)
irr-B10-210	1 x (irr-A3-15,irr-B7-1) + 1 x (irr-A3-6,irr-B7-15) + 1 x (irr-A3-1,irr-B7-105)
irr-B10-230	1 x (irr-A3-1,irr-B7-1) + 1 x (irr-A3-6,irr-B7-15) + 1 x (irr-A3-20b,irr-B7-1) + 1 x (irr-A3-1,irr-B7-119)
