irr-B10-1	1 x (irr-B9-1)
irr-B10-21	2 x (irr-B9-1) + 1 x (irr-B9-19)
irr-B10-210	1 x (irr-B9-1) + 2 x (irr-B9-19) + 1 x (irr-B9-171)
irr-B10-230	3 x (irr-B9-1) + 2 x (irr-B9-19) + 1 x (irr-B9-189)
