irr-B10-1	1 x (irr-A1-1,irr-D9-1)
irr-B10-21	1 x (irr-A1-3,irr-D9-1) + 1 x (irr-A1-1,irr-D9-18)
irr-B10-210	1 x (irr-A1-3,irr-D9-1) + 1 x (irr-A1-3,irr-D9-18) + 1 x (irr-A1-1,irr-D9-153)
irr-B10-230	1 x (irr-A1-1,irr-D9-1) + 1 x (irr-A1-5,irr-D9-1) + 1 x (irr-A1-3,irr-D9-18) + 1 x (irr-A1-1,irr-D9-170)
