irr-B10-1	1 x (irr-B4-1,irr-D6-1)
irr-B10-21	1 x (irr-B4-9,irr-D6-1) + 1 x (irr-B4-1,irr-D6-12)
irr-B10-210	1 x (irr-B4-36,irr-D6-1) + 1 x (irr-B4-9,irr-D6-12) + 1 x (irr-B4-1,irr-D6-66)
irr-B10-230	1 x (irr-B4-1,irr-D6-1) + 1 x (irr-B4-9,irr-D6-12) + 1 x (irr-B4-44,irr-D6-1) + 1 x (irr-B4-1,irr-D6-77)
