irr-B10-1	1 x (irr-C3-1)
irr-B10-21	1 x (irr-C3-21)
irr-B10-210	1 x (irr-C3-21) + 1 x (irr-C3-189)
irr-B10-230	1 x (irr-C3-14a) + 1 x (irr-C3-90) + 1 x (irr-C3-126b)
