irr-B10-1	1 x (irr-B5-1,irr-D5-1)
irr-B10-21	1 x (irr-B5-11,irr-D5-1) + 1 x (irr-B5-1,irr-D5-10)
irr-B10-210	1 x (irr-B5-55,irr-D5-1) + 1 x (irr-B5-11,irr-D5-10) + 1 x (irr-B5-1,irr-D5-45)
irr-B10-230	1 x (irr-B5-1,irr-D5-1) + 1 x (irr-B5-11,irr-D5-10) + 1 x (irr-B5-65,irr-D5-1) + 1 x (irr-B5-1,irr-D5-54)
