irr-B10-1	1 x (irr-B3-1)
irr-B10-21	1 x (irr-B3-21)
irr-B10-210	1 x (irr-B3-21) + 1 x (irr-B3-189)
irr-B10-230	1 x (irr-B3-27) + 1 x (irr-B3-35) + 1 x (irr-B3-168b)
