irr-B14-1	1 x (irr-B3-1,irr-D11-1)
irr-B14-29	1 x (irr-B3-7,irr-D11-1) + 1 x (irr-B3-1,irr-D11-22)
irr-B14-406	1 x (irr-B3-21,irr-D11-1) + 1 x (irr-B3-7,irr-D11-22) + 1 x (irr-B3-1,irr-D11-231)
irr-B14-434	1 x (irr-B3-1,irr-D11-1) + 1 x (irr-B3-7,irr-D11-22) + 1 x (irr-B3-27,irr-D11-1) + 1 x (irr-B3-1,irr-D11-252)
