irr-B14-1	1 x (irr-A1-1,irr-A1-1,irr-B12-1)
irr-B14-29	1 x (irr-A1-2-q,irr-A1-2-q,irr-B12-1) + 1 x (irr-A1-1,irr-A1-1,irr-B12-25)
irr-B14-406	1 x (irr-A1-3,irr-A1-1,irr-B12-1) + 1 x (irr-A1-1,irr-A1-3,irr-B12-1) + 1 x (irr-A1-2-q,irr-A1-2-q,irr-B12-25) + 1 x (irr-A1-1,irr-A1-1,irr-B12-300)
irr-B14-434	1 x (irr-A1-1,irr-A1-1,irr-B12-1) + 1 x (irr-A1-3,irr-A1-3,irr-B12-1) + 1 x (irr-A1-2-q,irr-A1-2-q,irr-B12-25) + 1 x (irr-A1-1,irr-A1-1,irr-B12-324)
