irr-B14-1	1 x (irr-B10-1,irr-D4-1)
irr-B14-29	1 x (irr-B10-21,irr-D4-1) + 1 x (irr-B10-1,irr-D4-8a)
irr-B14-406	1 x (irr-B10-210,irr-D4-1) + 1 x (irr-B10-21,irr-D4-8a) + 1 x (irr-B10-1,irr-D4-28)
irr-B14-434	1 x (irr-B10-1,irr-D4-1) + 1 x (irr-B10-21,irr-D4-8a) + 1 x (irr-B10-230,irr-D4-1) + 1 x (irr-B10-1,irr-D4-35a)
