irr-B14-1	1 x (irr-B4-1,irr-D10-1)
irr-B14-29	1 x (irr-B4-9,irr-D10-1) + 1 x (irr-B4-1,irr-D10-20)
irr-B14-406	1 x (irr-B4-36,irr-D10-1) + 1 x (irr-B4-9,irr-D10-20) + 1 x (irr-B4-1,irr-D10-190)
irr-B14-434	1 x (irr-B4-1,irr-D10-1) + 1 x (irr-B4-9,irr-D10-20) + 1 x (irr-B4-44,irr-D10-1) + 1 x (irr-B4-1,irr-D10-209)
