irr-B14-1	1 x (irr-B13-1)
irr-B14-29	2 x (irr-B13-1) + 1 x (irr-B13-27)
irr-B14-406	1 x (irr-B13-1) + 2 x (irr-B13-27) + 1 x (irr-B13-351)
irr-B14-434	3 x (irr-B13-1) + 2 x (irr-B13-27) + 1 x (irr-B13-377)
