irr-B14-1	1 x (irr-A1-1,irr-D13-1)
irr-B14-29	1 x (irr-A1-3,irr-D13-1) + 1 x (irr-A1-1,irr-D13-26)
irr-B14-406	1 x (irr-A1-3,irr-D13-1) + 1 x (irr-A1-3,irr-D13-26) + 1 x (irr-A1-1,irr-D13-325)
irr-B14-434	1 x (irr-A1-1,irr-D13-1) + 1 x (irr-A1-5,irr-D13-1) + 1 x (irr-A1-3,irr-D13-26) + 1 x (irr-A1-1,irr-D13-350)
