irr-B14-1	1 x (irr-D14-1)
irr-B14-29	1 x (irr-D14-1) + 1 x (irr-D14-28)
irr-B14-406	1 x (irr-D14-28) + 1 x (irr-D14-378)
irr-B14-434	1 x (irr-D14-1) + 1 x (irr-D14-28) + 1 x (irr-D14-405)
