irr-B14-1	1 x (irr-B7-1,irr-D7-1)
irr-B14-29	1 x (irr-B7-15,irr-D7-1) + 1 x (irr-B7-1,irr-D7-14)
irr-B14-406	1 x (irr-B7-105,irr-D7-1) + 1 x (irr-B7-15,irr-D7-14) + 1 x (irr-B7-1,irr-D7-91)
irr-B14-434	1 x (irr-B7-1,irr-D7-1) + 1 x (irr-B7-15,irr-D7-14) + 1 x (irr-B7-119,irr-D7-1) + 1 x (irr-B7-1,irr-D7-104)
