irr-B14-1	1 x (irr-C2-1,irr-D12-1)
irr-B14-29	1 x (irr-C2-5,irr-D12-1) + 1 x (irr-C2-1,irr-D12-24)
irr-B14-406	1 x (irr-C2-10,irr-D12-1) + 1 x (irr-C2-5,irr-D12-24) + 1 x (irr-C2-1,irr-D12-276)
irr-B14-434	1 x (irr-C2-1,irr-D12-1) + 1 x (irr-C2-14,irr-D12-1) + 1 x (irr-C2-5,irr-D12-24) + 1 x (irr-C2-1,irr-D12-299)
