irr-B14-1	1 x (irr-B6-1,irr-D8-1)
irr-B14-29	1 x (irr-B6-13,irr-D8-1) + 1 x (irr-B6-1,irr-D8-16)
irr-B14-406	1 x (irr-B6-78,irr-D8-1) + 1 x (irr-B6-13,irr-D8-16) + 1 x (irr-B6-1,irr-D8-120)
irr-B14-434	1 x (irr-B6-1,irr-D8-1) + 1 x (irr-B6-13,irr-D8-16) + 1 x (irr-B6-90,irr-D8-1) + 1 x (irr-B6-1,irr-D8-135)
