irr-D7-1	1 x (irr-A6-1)
irr-D7-14	2 x (irr-A6-7)
irr-D7-64	1 x (irr-A6-1) + 1 x (irr-A6-7) + 1 x (irr-A6-21) + 1 x (irr-A6-35)
irr-D7-91	1 x (irr-A6-1) + 2 x (irr-A6-21) + 1 x (irr-A6-48)
irr-D7-104	2 x (irr-A6-28) + 1 x (irr-A6-48)
irr-D7-364	2 x (irr-A6-7) + 2 x (irr-A6-35) + 2 x (irr-A6-140)
