irr-D7-1	1 x (irr-A1-1,irr-A1-1,irr-D5-1)
irr-D7-14	1 x (irr-A1-2-q,irr-A1-2-q,irr-D5-1) + 1 x (irr-A1-1,irr-A1-1,irr-D5-10)
irr-D7-64	1 x (irr-A1-2-q,irr-A1-1,irr-D5-16) + 1 x (irr-A1-1,irr-A1-2-q,irr-D5-16)
irr-D7-91	1 x (irr-A1-3,irr-A1-1,irr-D5-1) + 1 x (irr-A1-1,irr-A1-3,irr-D5-1) + 1 x (irr-A1-2-q,irr-A1-2-q,irr-D5-10) + 1 x (irr-A1-1,irr-A1-1,irr-D5-45)
irr-D7-104	1 x (irr-A1-1,irr-A1-1,irr-D5-1) + 1 x (irr-A1-3,irr-A1-3,irr-D5-1) + 1 x (irr-A1-2-q,irr-A1-2-q,irr-D5-10) + 1 x (irr-A1-1,irr-A1-1,irr-D5-54)
irr-D7-364	1 x (irr-A1-2-q,irr-A1-2-q,irr-D5-1) + 1 x (irr-A1-3,irr-A1-1,irr-D5-10) + 1 x (irr-A1-1,irr-A1-3,irr-D5-10) + 1 x (irr-A1-2-q,irr-A1-2-q,irr-D5-45) + 1 x (irr-A1-1,irr-A1-1,irr-D5-120)
