irr-D7-1	1 x (irr-D6-1)
irr-D7-14	2 x (irr-D6-1) + 1 x (irr-D6-12)
irr-D7-64	2 x (irr-D6-32-q)
irr-D7-91	1 x (irr-D6-1) + 2 x (irr-D6-12) + 1 x (irr-D6-66)
irr-D7-104	3 x (irr-D6-1) + 2 x (irr-D6-12) + 1 x (irr-D6-77)
