irr-D7-1	1 x (irr-A1-1,irr-B5-1)
irr-D7-14	1 x (irr-A1-3,irr-B5-1) + 1 x (irr-A1-1,irr-B5-11)
irr-D7-64	1 x (irr-A1-2-q,irr-B5-32-q)
irr-D7-91	1 x (irr-A1-3,irr-B5-1) + 1 x (irr-A1-3,irr-B5-11) + 1 x (irr-A1-1,irr-B5-55)
irr-D7-104	1 x (irr-A1-1,irr-B5-1) + 1 x (irr-A1-5,irr-B5-1) + 1 x (irr-A1-3,irr-B5-11) + 1 x (irr-A1-1,irr-B5-65)
