irr-D7-1	1 x (irr-A3-1,irr-D4-1)
irr-D7-14	1 x (irr-A3-6,irr-D4-1) + 1 x (irr-A3-1,irr-D4-8a)
irr-D7-64	2 x (irr-A3-4,irr-D4-8b)
irr-D7-91	1 x (irr-A3-6,irr-D4-8a) + 1 x (irr-A3-15,irr-D4-1) + 1 x (irr-A3-1,irr-D4-28)
irr-D7-104	1 x (irr-A3-1,irr-D4-1) + 1 x (irr-A3-6,irr-D4-8a) + 1 x (irr-A3-20b,irr-D4-1) + 1 x (irr-A3-1,irr-D4-35a)
irr-D7-364	2 x (irr-A3-10,irr-D4-1) + 1 x (irr-A3-15,irr-D4-8a) + 1 x (irr-A3-6,irr-D4-28) + 1 x (irr-A3-1,irr-D4-56a)
