irr-D7-1	1 x (irr-C2-1)
irr-D7-14	1 x (irr-C2-14)
irr-D7-64	1 x (irr-C2-64-q)
irr-D7-91	1 x (irr-C2-10) + 1 x (irr-C2-81)
irr-D7-104	1 x (irr-C2-14) + 1 x (irr-C2-35b) + 1 x (irr-C2-55)
irr-D7-364	1 x (irr-C2-10) + 1 x (irr-C2-35a) + 1 x (irr-C2-81) + 1 x (irr-C2-84) + 1 x (irr-C2-154)
