irr-D7-1	1 x (irr-B4-1,irr-C2-1)
irr-D7-14	1 x (irr-B4-9,irr-C2-1) + 1 x (irr-B4-1,irr-C2-5)
irr-D7-64	1 x (irr-B4-16,irr-C2-4-q)
irr-D7-91	1 x (irr-B4-9,irr-C2-5) + 1 x (irr-B4-36,irr-C2-1) + 1 x (irr-B4-1,irr-C2-10)
irr-D7-104	1 x (irr-B4-1,irr-C2-1) + 1 x (irr-B4-9,irr-C2-5) + 1 x (irr-B4-44,irr-C2-1) + 1 x (irr-B4-1,irr-C2-14)
irr-D7-364	1 x (irr-B4-1,irr-C2-10) + 1 x (irr-B4-9,irr-C2-10) + 1 x (irr-B4-36,irr-C2-5) + 1 x (irr-B4-84,irr-C2-1)
