irr-D7-1	1 x (irr-B6-1)
irr-D7-14	1 x (irr-B6-1) + 1 x (irr-B6-13)
irr-D7-64	1 x (irr-B6-64-q)
irr-D7-91	1 x (irr-B6-13) + 1 x (irr-B6-78)
irr-D7-104	1 x (irr-B6-1) + 1 x (irr-B6-13) + 1 x (irr-B6-90)
irr-D7-364	1 x (irr-B6-78) + 1 x (irr-B6-286)
