irr-D7-1	1 x (irr-B3-1,irr-B3-1)
irr-D7-14	1 x (irr-B3-7,irr-B3-1) + 1 x (irr-B3-1,irr-B3-7)
irr-D7-64	1 x (irr-B3-8,irr-B3-8)
irr-D7-91	1 x (irr-B3-7,irr-B3-7) + 1 x (irr-B3-21,irr-B3-1) + 1 x (irr-B3-1,irr-B3-21)
irr-D7-104	1 x (irr-B3-1,irr-B3-1) + 1 x (irr-B3-7,irr-B3-7) + 1 x (irr-B3-27,irr-B3-1) + 1 x (irr-B3-1,irr-B3-27)
irr-D7-364	1 x (irr-B3-7,irr-B3-21) + 1 x (irr-B3-21,irr-B3-7) + 1 x (irr-B3-1,irr-B3-35) + 1 x (irr-B3-35,irr-B3-1)
