irr-B13-1	1 x (irr-A1-1,irr-D12-1)
irr-B13-27	1 x (irr-A1-3,irr-D12-1) + 1 x (irr-A1-1,irr-D12-24)
irr-B13-351	1 x (irr-A1-3,irr-D12-1) + 1 x (irr-A1-3,irr-D12-24) + 1 x (irr-A1-1,irr-D12-276)
irr-B13-377	1 x (irr-A1-1,irr-D12-1) + 1 x (irr-A1-5,irr-D12-1) + 1 x (irr-A1-3,irr-D12-24) + 1 x (irr-A1-1,irr-D12-299)
