irr-B13-1	1 x (irr-B9-1,irr-D4-1)
irr-B13-27	1 x (irr-B9-19,irr-D4-1) + 1 x (irr-B9-1,irr-D4-8a)
irr-B13-351	1 x (irr-B9-171,irr-D4-1) + 1 x (irr-B9-19,irr-D4-8a) + 1 x (irr-B9-1,irr-D4-28)
irr-B13-377	1 x (irr-B9-1,irr-D4-1) + 1 x (irr-B9-19,irr-D4-8a) + 1 x (irr-B9-189,irr-D4-1) + 1 x (irr-B9-1,irr-D4-35a)
