irr-B13-1	1 x (irr-B3-1)
irr-B13-27	1 x (irr-B3-27)
irr-B13-351	1 x (irr-B3-21) + 1 x (irr-B3-330)
irr-B13-377	1 x (irr-B3-27) + 1 x (irr-B3-168b) + 1 x (irr-B3-182)
