irr-B13-1	1 x (irr-A3-1,irr-B10-1)
irr-B13-27	1 x (irr-A3-6,irr-B10-1) + 1 x (irr-A3-1,irr-B10-21)
irr-B13-351	1 x (irr-A3-15,irr-B10-1) + 1 x (irr-A3-6,irr-B10-21) + 1 x (irr-A3-1,irr-B10-210)
irr-B13-377	1 x (irr-A3-1,irr-B10-1) + 1 x (irr-A3-6,irr-B10-21) + 1 x (irr-A3-20b,irr-B10-1) + 1 x (irr-A3-1,irr-B10-230)
