irr-B13-1	1 x (irr-B12-1)
irr-B13-27	2 x (irr-B12-1) + 1 x (irr-B12-25)
irr-B13-351	1 x (irr-B12-1) + 2 x (irr-B12-25) + 1 x (irr-B12-300)
irr-B13-377	3 x (irr-B12-1) + 2 x (irr-B12-25) + 1 x (irr-B12-324)
