irr-B13-1	1 x (irr-C2-1,irr-D11-1)
irr-B13-27	1 x (irr-C2-5,irr-D11-1) + 1 x (irr-C2-1,irr-D11-22)
irr-B13-351	1 x (irr-C2-10,irr-D11-1) + 1 x (irr-C2-5,irr-D11-22) + 1 x (irr-C2-1,irr-D11-231)
irr-B13-377	1 x (irr-C2-1,irr-D11-1) + 1 x (irr-C2-14,irr-D11-1) + 1 x (irr-C2-5,irr-D11-22) + 1 x (irr-C2-1,irr-D11-252)
