irr-B13-1	1 x (irr-B8-1,irr-D5-1)
irr-B13-27	1 x (irr-B8-17,irr-D5-1) + 1 x (irr-B8-1,irr-D5-10)
irr-B13-351	1 x (irr-B8-136,irr-D5-1) + 1 x (irr-B8-17,irr-D5-10) + 1 x (irr-B8-1,irr-D5-45)
irr-B13-377	1 x (irr-B8-1,irr-D5-1) + 1 x (irr-B8-17,irr-D5-10) + 1 x (irr-B8-152,irr-D5-1) + 1 x (irr-B8-1,irr-D5-54)
