irr-B13-1	1 x (irr-A1-1,irr-A1-1,irr-B11-1)
irr-B13-27	1 x (irr-A1-2-q,irr-A1-2-q,irr-B11-1) + 1 x (irr-A1-1,irr-A1-1,irr-B11-23)
irr-B13-351	1 x (irr-A1-3,irr-A1-1,irr-B11-1) + 1 x (irr-A1-1,irr-A1-3,irr-B11-1) + 1 x (irr-A1-2-q,irr-A1-2-q,irr-B11-23) + 1 x (irr-A1-1,irr-A1-1,irr-B11-253)
irr-B13-377	1 x (irr-A1-1,irr-A1-1,irr-B11-1) + 1 x (irr-A1-3,irr-A1-3,irr-B11-1) + 1 x (irr-A1-2-q,irr-A1-2-q,irr-B11-23) + 1 x (irr-A1-1,irr-A1-1,irr-B11-275)
