irr-B13-1	1 x (irr-A1-1,irr-B4-1)
irr-B13-27	1 x (irr-A1-3,irr-B4-9)
irr-B13-351	1 x (irr-A1-3,irr-B4-1) + 1 x (irr-A1-1,irr-B4-36) + 1 x (irr-A1-5,irr-B4-36) + 1 x (irr-A1-3,irr-B4-44)
irr-B13-377	1 x (irr-A1-5,irr-B4-1) + 1 x (irr-A1-3,irr-B4-36) + 1 x (irr-A1-1,irr-B4-44) + 1 x (irr-A1-5,irr-B4-44)
