irr-B13-1	1 x (irr-C4-1)
irr-B13-27	1 x (irr-C4-27)
irr-B13-351	1 x (irr-C4-36) + 1 x (irr-C4-315)
irr-B13-377	1 x (irr-C4-27) + 1 x (irr-C4-42) + 1 x (irr-C4-308)
