irr-A19-1	1 x (irr-A5-1,irr-A13-1)
irr-A19-20	1 x (irr-A5-6,irr-A13-1) + 1 x (irr-A5-1,irr-A13-14)
irr-A19-190	1 x (irr-A5-15,irr-A13-1) + 1 x (irr-A5-6,irr-A13-14) + 1 x (irr-A5-1,irr-A13-91)
irr-A19-210	1 x (irr-A5-21,irr-A13-1) + 1 x (irr-A5-6,irr-A13-14) + 1 x (irr-A5-1,irr-A13-105)
irr-A19-399	1 x (irr-A5-1,irr-A13-1) + 1 x (irr-A5-35,irr-A13-1) + 2 x (irr-A5-6,irr-A13-14) + 1 x (irr-A5-1,irr-A13-195)
