irr-A19-1	1 x (irr-C10-1)
irr-A19-20	1 x (irr-C10-20-q)
irr-A19-190	1 x (irr-C10-1) + 1 x (irr-C10-189)
irr-A19-210	1 x (irr-C10-210)
irr-A19-399	1 x (irr-C10-189) + 1 x (irr-C10-210)
