irr-C24-1	1 x (irr-C7-1,irr-C17-1)
irr-C24-48-q	1 x (irr-C7-14-q,irr-C17-1) + 1 x (irr-C7-1,irr-C17-34-q)
irr-C24-1127	1 x (irr-C7-1,irr-C17-1) + 1 x (irr-C7-90,irr-C17-1) + 1 x (irr-C7-14-q,irr-C17-34-q) + 1 x (irr-C7-1,irr-C17-560)
irr-C24-1176	1 x (irr-C7-105,irr-C17-1) + 1 x (irr-C7-14-q,irr-C17-34-q) + 1 x (irr-C7-1,irr-C17-595)
