irr-C24-1	1 x (irr-C3-1,irr-C21-1)
irr-C24-48-q	1 x (irr-C3-6-q,irr-C21-1) + 1 x (irr-C3-1,irr-C21-42-q)
irr-C24-1127	1 x (irr-C3-1,irr-C21-1) + 1 x (irr-C3-14a,irr-C21-1) + 1 x (irr-C3-6-q,irr-C21-42-q) + 1 x (irr-C3-1,irr-C21-860)
irr-C24-1176	1 x (irr-C3-21,irr-C21-1) + 1 x (irr-C3-6-q,irr-C21-42-q) + 1 x (irr-C3-1,irr-C21-903)
