irr-C24-1	1 x (irr-A23-1)
irr-C24-48-q	2 x (irr-A23-24)
irr-C24-1127	2 x (irr-A23-276) + 1 x (irr-A23-575)
irr-C24-1176	1 x (irr-A23-1) + 2 x (irr-A23-300) + 1 x (irr-A23-575)
