irr-C24-1	1 x (irr-A3-1,irr-C4-1)
irr-C24-48-q	1 x (irr-A3-6,irr-C4-8-q)
irr-C24-1127	1 x (irr-A3-1,irr-C4-27) + 1 x (irr-A3-20b,irr-C4-1) + 1 x (irr-A3-20b,irr-C4-27) + 1 x (irr-A3-15,irr-C4-36)
irr-C24-1176	1 x (irr-A3-1,irr-C4-36) + 1 x (irr-A3-15,irr-C4-1) + 1 x (irr-A3-15,irr-C4-27) + 1 x (irr-A3-20b,irr-C4-36)
