irr-C24-1	1 x (irr-C2-1,irr-D6-1)
irr-C24-48-q	1 x (irr-C2-4-q,irr-D6-12)
irr-C24-1127	1 x (irr-C2-5,irr-D6-1) + 1 x (irr-C2-1,irr-D6-77) + 1 x (irr-C2-10,irr-D6-66) + 1 x (irr-C2-5,irr-D6-77)
irr-C24-1176	1 x (irr-C2-10,irr-D6-1) + 1 x (irr-C2-1,irr-D6-66) + 1 x (irr-C2-5,irr-D6-66) + 1 x (irr-C2-10,irr-D6-77)
