irr-C24-1	1 x (irr-C9-1,irr-C15-1)
irr-C24-48-q	1 x (irr-C9-18-q,irr-C15-1) + 1 x (irr-C9-1,irr-C15-30-q)
irr-C24-1127	1 x (irr-C9-1,irr-C15-1) + 1 x (irr-C9-152,irr-C15-1) + 1 x (irr-C9-18-q,irr-C15-30-q) + 1 x (irr-C9-1,irr-C15-434)
irr-C24-1176	1 x (irr-C9-171,irr-C15-1) + 1 x (irr-C9-18-q,irr-C15-30-q) + 1 x (irr-C9-1,irr-C15-465)
