irr-C24-1	1 x (irr-C2-1,irr-C22-1)
irr-C24-48-q	1 x (irr-C2-4-q,irr-C22-1) + 1 x (irr-C2-1,irr-C22-44-q)
irr-C24-1127	1 x (irr-C2-1,irr-C22-1) + 1 x (irr-C2-5,irr-C22-1) + 1 x (irr-C2-4-q,irr-C22-44-q) + 1 x (irr-C2-1,irr-C22-945)
irr-C24-1176	1 x (irr-C2-10,irr-C22-1) + 1 x (irr-C2-4-q,irr-C22-44-q) + 1 x (irr-C2-1,irr-C22-990)
