irr-C24-1	1 x (irr-A1-1,irr-C23-1)
irr-C24-48-q	1 x (irr-A1-2-q,irr-C23-1) + 1 x (irr-A1-1,irr-C23-46-q)
irr-C24-1127	1 x (irr-A1-1,irr-C23-1) + 1 x (irr-A1-2-q,irr-C23-46-q) + 1 x (irr-A1-1,irr-C23-1034)
irr-C24-1176	1 x (irr-A1-3,irr-C23-1) + 1 x (irr-A1-2-q,irr-C23-46-q) + 1 x (irr-A1-1,irr-C23-1081)
