irr-C24-1	1 x (irr-A1-1,irr-D12-1)
irr-C24-48-q	1 x (irr-A1-2-q,irr-D12-24)
irr-C24-1127	1 x (irr-A1-3,irr-D12-276) + 1 x (irr-A1-1,irr-D12-299)
irr-C24-1176	1 x (irr-A1-3,irr-D12-1) + 1 x (irr-A1-3,irr-D12-299) + 1 x (irr-A1-1,irr-D12-276)
