irr-B15-1	1 x (irr-B3-1,irr-D12-1)
irr-B15-31	1 x (irr-B3-7,irr-D12-1) + 1 x (irr-B3-1,irr-D12-24)
irr-B15-465	1 x (irr-B3-21,irr-D12-1) + 1 x (irr-B3-7,irr-D12-24) + 1 x (irr-B3-1,irr-D12-276)
irr-B15-495	1 x (irr-B3-1,irr-D12-1) + 1 x (irr-B3-7,irr-D12-24) + 1 x (irr-B3-27,irr-D12-1) + 1 x (irr-B3-1,irr-D12-299)
