irr-B15-1	1 x (irr-B8-1,irr-D7-1)
irr-B15-31	1 x (irr-B8-17,irr-D7-1) + 1 x (irr-B8-1,irr-D7-14)
irr-B15-465	1 x (irr-B8-136,irr-D7-1) + 1 x (irr-B8-17,irr-D7-14) + 1 x (irr-B8-1,irr-D7-91)
irr-B15-495	1 x (irr-B8-1,irr-D7-1) + 1 x (irr-B8-17,irr-D7-14) + 1 x (irr-B8-152,irr-D7-1) + 1 x (irr-B8-1,irr-D7-104)
