irr-B15-1	1 x (irr-A3-1,irr-B12-1)
irr-B15-31	1 x (irr-A3-6,irr-B12-1) + 1 x (irr-A3-1,irr-B12-25)
irr-B15-465	1 x (irr-A3-15,irr-B12-1) + 1 x (irr-A3-6,irr-B12-25) + 1 x (irr-A3-1,irr-B12-300)
irr-B15-495	1 x (irr-A3-1,irr-B12-1) + 1 x (irr-A3-6,irr-B12-25) + 1 x (irr-A3-20b,irr-B12-1) + 1 x (irr-A3-1,irr-B12-324)
