irr-B15-1	1 x (irr-B14-1)
irr-B15-31	2 x (irr-B14-1) + 1 x (irr-B14-29)
irr-B15-465	1 x (irr-B14-1) + 2 x (irr-B14-29) + 1 x (irr-B14-406)
irr-B15-495	3 x (irr-B14-1) + 2 x (irr-B14-29) + 1 x (irr-B14-434)
