irr-B15-1	1 x (irr-B11-1,irr-D4-1)
irr-B15-31	1 x (irr-B11-23,irr-D4-1) + 1 x (irr-B11-1,irr-D4-8a)
irr-B15-465	1 x (irr-B11-253,irr-D4-1) + 1 x (irr-B11-23,irr-D4-8a) + 1 x (irr-B11-1,irr-D4-28)
irr-B15-495	1 x (irr-B11-1,irr-D4-1) + 1 x (irr-B11-23,irr-D4-8a) + 1 x (irr-B11-275,irr-D4-1) + 1 x (irr-B11-1,irr-D4-35a)
