irr-B15-1	1 x (irr-C2-1,irr-D13-1)
irr-B15-31	1 x (irr-C2-5,irr-D13-1) + 1 x (irr-C2-1,irr-D13-26)
irr-B15-465	1 x (irr-C2-10,irr-D13-1) + 1 x (irr-C2-5,irr-D13-26) + 1 x (irr-C2-1,irr-D13-325)
irr-B15-495	1 x (irr-C2-1,irr-D13-1) + 1 x (irr-C2-14,irr-D13-1) + 1 x (irr-C2-5,irr-D13-26) + 1 x (irr-C2-1,irr-D13-350)
