irr-B15-1	1 x (irr-B4-1,irr-D11-1)
irr-B15-31	1 x (irr-B4-9,irr-D11-1) + 1 x (irr-B4-1,irr-D11-22)
irr-B15-465	1 x (irr-B4-36,irr-D11-1) + 1 x (irr-B4-9,irr-D11-22) + 1 x (irr-B4-1,irr-D11-231)
irr-B15-495	1 x (irr-B4-1,irr-D11-1) + 1 x (irr-B4-9,irr-D11-22) + 1 x (irr-B4-44,irr-D11-1) + 1 x (irr-B4-1,irr-D11-252)
