irr-B15-1	1 x (irr-B5-1,irr-D10-1)
irr-B15-31	1 x (irr-B5-11,irr-D10-1) + 1 x (irr-B5-1,irr-D10-20)
irr-B15-465	1 x (irr-B5-55,irr-D10-1) + 1 x (irr-B5-11,irr-D10-20) + 1 x (irr-B5-1,irr-D10-190)
irr-B15-495	1 x (irr-B5-1,irr-D10-1) + 1 x (irr-B5-11,irr-D10-20) + 1 x (irr-B5-65,irr-D10-1) + 1 x (irr-B5-1,irr-D10-209)
