irr-B15-1	1 x (irr-A1-1,irr-A1-1,irr-B13-1)
irr-B15-31	1 x (irr-A1-2-q,irr-A1-2-q,irr-B13-1) + 1 x (irr-A1-1,irr-A1-1,irr-B13-27)
irr-B15-465	1 x (irr-A1-3,irr-A1-1,irr-B13-1) + 1 x (irr-A1-1,irr-A1-3,irr-B13-1) + 1 x (irr-A1-2-q,irr-A1-2-q,irr-B13-27) + 1 x (irr-A1-1,irr-A1-1,irr-B13-351)
irr-B15-495	1 x (irr-A1-1,irr-A1-1,irr-B13-1) + 1 x (irr-A1-3,irr-A1-3,irr-B13-1) + 1 x (irr-A1-2-q,irr-A1-2-q,irr-B13-27) + 1 x (irr-A1-1,irr-A1-1,irr-B13-377)
