irr-A11-1	1 x (irr-D6-1)
irr-A11-12	1 x (irr-D6-12)
irr-A11-66	1 x (irr-D6-66)
irr-A11-78	1 x (irr-D6-1) + 1 x (irr-D6-77)
irr-A11-143	1 x (irr-D6-66) + 1 x (irr-D6-77)
