irr-A11-1	1 x (irr-C6-1)
irr-A11-12	1 x (irr-C6-12-q)
irr-A11-66	1 x (irr-C6-1) + 1 x (irr-C6-65)
irr-A11-78	1 x (irr-C6-78)
irr-A11-143	1 x (irr-C6-65) + 1 x (irr-C6-78)
