irr-A11-1	1 x (irr-A10-1)
irr-A11-12	1 x (irr-A10-1) + 1 x (irr-A10-11)
irr-A11-66	1 x (irr-A10-11) + 1 x (irr-A10-55)
irr-A11-78	1 x (irr-A10-1) + 1 x (irr-A10-11) + 1 x (irr-A10-66)
irr-A11-143	1 x (irr-A10-1) + 2 x (irr-A10-11) + 1 x (irr-A10-120)
