irr-C23-1	1 x (irr-C5-1,irr-C18-1)
irr-C23-46-q	1 x (irr-C5-10-q,irr-C18-1) + 1 x (irr-C5-1,irr-C18-36-q)
irr-C23-1034	1 x (irr-C5-1,irr-C18-1) + 1 x (irr-C5-44,irr-C18-1) + 1 x (irr-C5-10-q,irr-C18-36-q) + 1 x (irr-C5-1,irr-C18-629)
irr-C23-1081	1 x (irr-C5-55,irr-C18-1) + 1 x (irr-C5-10-q,irr-C18-36-q) + 1 x (irr-C5-1,irr-C18-666)
