irr-C23-1	1 x (irr-A22-1)
irr-C23-46-q	2 x (irr-A22-23)
irr-C23-1034	2 x (irr-A22-253) + 1 x (irr-A22-528)
irr-C23-1081	1 x (irr-A22-1) + 2 x (irr-A22-276) + 1 x (irr-A22-528)
