irr-C23-1	1 x (irr-A1-1,irr-C22-1)
irr-C23-46-q	1 x (irr-A1-2-q,irr-C22-1) + 1 x (irr-A1-1,irr-C22-44-q)
irr-C23-1034	1 x (irr-A1-1,irr-C22-1) + 1 x (irr-A1-2-q,irr-C22-44-q) + 1 x (irr-A1-1,irr-C22-945)
irr-C23-1081	1 x (irr-A1-3,irr-C22-1) + 1 x (irr-A1-2-q,irr-C22-44-q) + 1 x (irr-A1-1,irr-C22-990)
